id,udf_type,name,class_name,resource_id,purpose,command_format,param_desc,node_pid,tenant_id,project_id,create_user_id,modify_user_id,type,gmt_create,gmt_modified,is_deleted
361,0,RAND_INTEGER,null,-1,取随机数,"RAND_INTEGER(bound integer) or RAND_INTEGER(seed integer, bound integer) ","返回0.0(包含)和指定值(不包括)之间的伪随机整数值, 如果指定种子seed，则会等到一个稳定的随机数序列 ",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
363,0,LOG,null,-1,计算对数,"LOG(x numeric) or LOG(base numeric, x numeric)","未指定base 则以自然数e为底",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
365,0,EXTRACT,null,-1,提取指定单位的时间数值,"EXTRACT(timeintervalunit FROM temporal)","提取部分的时间数值,并返回长整形, 比如 EXTRACT(DAY FROM DATE "2006-06-05") 返回 5.",897,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
367,0,QUARTER,null,-1,计算季节,QUARTER(date),"返回当前时间属性哪个季度 如QUARTER(DATE "1994-09-27") 返回 3",897,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
369,0,DATE_FORMAT,null,-1,时间格式化,"DATE_FORMAT(timestamp, format)","根据指定format 格式化timestamp 并返回字符串, format 必须和mysql的格式化语法兼容(date_parse), 比如:DATE_FORMAT(ts, "%Y, %d %M") results in strings formatted as "2017, 05 May"",897,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
371,0,TIMESTAMPADD,null,-1,时间加减操作,"TIMESTAMPADD(unit, interval, timestamp)","将(有符号)整数interval添加到timestamp. interval的单位由unit参数给出, 它应该是以下值之一：SECOND, MINUTE, HOUR, DAY, WEEK, MONTH, QUARTER, or YEAR. 比如：TIMESTAMPADD(WEEK, 1, "2003-01-02") 返回 2003-01-09",897,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
373,0,CHAR_LENGTH,null,-1,计算字符串长度,CHAR_LENGTH(string),返回字符串的长度,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
375,0,CHARACTER_LENGTH,null,-1,计算字符串长度,CHARACTER_LENGTH(string),返回字符串的长度,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
377,0,UPPER,null,-1,将字符串的字母转换成大写字母,UPPER(string),将字符串的字母转换成大写字母,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
379,0,LOWER,null,-1,将字符串的字母转换成小写字母,LOWER(string),将字符串的字母转换成小写字母,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
381,0,POSITION,null,-1,返回string2中第一次出现string1的位置,"POSITION(string1 IN string2)",返回string2中第一次出现string1的位置,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
383,0,TRIM,null,-1,删除指定字符,"TRIM( { BOTH | LEADING | TRAILING } string1 FROM string2)","从string2 中删除指定位置的String1, 默认是删除前后的空格",899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
385,0,OVERLAY,null,-1,替换字符串,"OVERLAY(string1 PLACING string2 FROM integer [ FOR integer2 ])",用string2替换string1的子字符串,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
387,0,SUBSTRING,null,-1,截取字符串,"SUBSTRING(string FROM integer) or SUBSTRING(string FROM integer FOR integer)","截取字符串中start位置之后的字符串并返回 截取字符串中start位置之后的长度为length的字符串",899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
389,0,INITCAP,null,-1,字符串中的单词首字母大写,INITCAP(string),"返回字符串，每个单词的第一个字母大写, 所有其他字母以小写形式显示. 单词由空格分割.",899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
391,0,CONCAT,null,-1,字符串和字节拼接,"CONCAT(string1, string2,...)","将字符串或字节拼接，如：concat("foo", "bar") = "foobar", 函数可以拼接任意数量的字符串或字节。",899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
393,0,CONCAT_WS,null,-1,使用指定的分隔符拼接字符串,"CONCAT_WS(separator, string1, string2,...)",使用指定的分隔符拼接字符串,899,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
395,0,COUNT,null,-1,统计总行数,"COUNT(*) or COUNT(value [, value]* )","统计总行数，包括含有NULL值的行, 统计提供非NULL的expr表达式值的行数.",901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
397,0,AVG,null,-1,求指定列的平均值,AVG(numeric),求指定列的平均值.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
399,0,SUM,null,-1,求指定列的和,SUM(numeric),求指定列的和.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
401,0,MAX,null,-1,求指定列的最大值,MAX(value),求指定列的最大值.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
403,0,MIN,null,-1,求指定列的最小值,MIN(value),求指定列的最小值.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
405,0,STDDEV_POP,null,-1,求指定列数值的标准偏差,STDDEV_POP(value),求指定列数值的标准偏差.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
407,0,STDDEV_SAMP,null,-1,求指定列数值的样本标准偏差,STDDEV_SAMP(value),求指定列数值的样本标准偏差.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
409,0,VAR_POP,null,-1,求指定列数值的方差,VAR_POP(value),求指定列数值的方差.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
411,0,VAR_SAMP,null,-1,求指定列数值的样本方差,VAR_POP(value),求指定列数值的样本方差.,901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
413,0,COLLECT,null,-1,返回包含值的multiset,COLLECT(value),"返回包含值的multiset. null将被忽略.如果仅添加null,则返回一个空multiset.",901,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
415,0,NULLIF,null,-1,如果值相同着返回null,"NULLIF(value, value)","如果值相同着返回null, 比如 NULLIF(5, 5) 返回 NULL; NULLIF(5, 0) 返回 5.",903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
417,0,COALESCE,null,-1,返回第一非null的值,"COALESCE(value, value [, value ]* )","返回第一非null的值, 比如: COALESCE(NULL, 5) 返回 5.",903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
419,0,CAST,null,-1,类型转换,"CAST(value AS type)","将value 转换为指定type",903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
421,0,GROUP_ID,null,-1,返回一个唯一标识分组键的整数,GROUP_ID(),返回一个唯一标识分组键的整数.,903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
423,0,GROUPING,null,-1,"如果表达式在当前行的分组集合中返回1, 否则返回0",GROUPING(expression),"如果表达式在当前行的分组集合中返回1, 否则返回0.",903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
425,0,GROUPING_ID,null,-1,返回给定分组表达式的位向量,"GROUPING_ID(expression [, expression]* )",返回给定分组表达式的位向量.,903,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
